Date,Description,Amount,Type
2025-12-01,Amazon India Shopping,4599.00,Debit
2025-12-02,Swiggy Food Order,689.50,Debit
2025-12-03,Netflix Subscription,649.00,Debit
2025-12-04,Spotify Premium Subscription,119.00,Debit
2025-12-05,Uber Ride Mumbai,384.00,Debit
2025-12-06,IRCTC Train Booking,1245.00,Debit
2025-12-07,Interest Charge for Revolving Credit,982.00,Debit
2025-12-08,Late Payment Fee,750.00,Debit
2025-12-09,Forex Markup Fee,412.00,Debit
2025-12-10,Apple App Store Subscription,299.00,Debit
2025-12-11,Flipkart Big Billion Sale,8999.00,Debit
2025-12-12,Amazon Prime Membership,1499.00,Debit
2025-12-13,BookMyShow Movie Tickets,850.00,Debit
2025-12-14,Restaurant Dining - BBQ Nation,3240.00,Debit
2025-12-15,Cash Advance Fee,600.00,Debit
2025-12-16,Interest on Cash Advance,420.00,Debit
2025-12-17,Mobile Recharge - Airtel,799.00,Debit
2025-12-18,Google Cloud Platform Subscription,1299.00,Debit
2025-12-19,Annual Credit Card Fee,999.00,Debit
2025-12-20,Refund - Amazon Order,-1599.00,Credit
2025-12-21,Swiggy Instamart Groceries,1349.00,Debit
2025-12-22,Zomato Dining,2140.00,Debit
2025-12-23,Interest Charge on Outstanding Balance,1150.00,Debit
2025-12-24,Flight Booking - MakeMyTrip,12500.00,Debit
2025-12-25,Christmas Gift Shopping - Myntra,4590.00,Debit
2025-12-26,Penalty - Overlimit Fee,900.00,Debit
2025-12-27,Electricity Bill Payment,2350.00,Debit
2025-12-28,Insurance Premium Payment,4200.00,Debit
2025-12-29,Spotify Premium Subscription,119.00,Debit
2025-12-30,Interest Charge for EMI Conversion,680.00,Debit